Edge1-Edge2	KappaScore
GO:0031326 (term-term) GO:0010558	0.4272967378114071
GO:0031326 (term-term) GO:0010604	0.4912456228114058
GO:0031326 (term-term) GO:0016070	0.7963614519866128
GO:0031326 (term-term) GO:0018130	0.8966320166320167
GO:0031326 (term-term) GO:0019219	0.8545438942761521
GO:0031326 (term-term) GO:0019438	0.8966320166320167
GO:0031326 (term-term) GO:0031323	0.6311666511237527
GO:0031326 (term-term) GO:0031324	0.40945239718245846
GO:0031326 (term-term) GO:0031325	0.5361247947454844
GO:0031326 (term-term-ontology) GO:0009889	2.0
GO:0031326 (term-term-ontology) GO:0031323	2.0
GO:0031327 (term-term) GO:0000122	0.6760897499258673
GO:0031327 (term-term) GO:0006355	0.40095572313895333
GO:0031327 (term-term) GO:0009059	0.4406341918358564
GO:0031327 (term-term) GO:0009889	0.4341107454571469
GO:0031327 (term-term) GO:0009890	1.0
GO:0031327 (term-term) GO:0009892	0.6705539358600584
GO:0031327 (term-term) GO:0010556	0.44719424460431645
GO:0031327 (term-term) GO:0010558	0.9899188152377556
GO:0031327 (term-term) GO:0010605	0.6764752664227771
GO:0031327 (term-term) GO:0031324	0.768878344105375
GO:0031327 (term-term) GO:0031326	0.4341107454571469
GO:0031327 (term-term-ontology) GO:0009890	2.0
GO:0031327 (term-term-ontology) GO:0031324	2.0
GO:0031327 (term-term-ontology) GO:0031326	2.0
GO:0031328 (term-term) GO:0003700	0.45330053300532996
GO:0031328 (term-term) GO:0006351	0.5916814023218268
GO:0031328 (term-term) GO:0006355	0.5999384283845147
GO:0031328 (term-term) GO:0006357	0.5893181638618944
GO:0031328 (term-term) GO:0006366	0.5808539183963382
GO:0031328 (term-term) GO:0009059	0.5887481992569565
GO:0031328 (term-term) GO:0009889	0.6148602590320382
GO:0031328 (term-term) GO:0009891	1.0
GO:0031328 (term-term) GO:0009893	0.5985942105660947
GO:0031328 (term-term) GO:0010468	0.4518247630420181
GO:0031328 (term-term) GO:0010556	0.596888045540797
GO:0031328 (term-term) GO:0010557	0.9819848545237146
GO:0031328 (term-term) GO:0010604	0.6468480829331504
GO:0031328 (term-term) GO:0016070	0.489188578316884
GO:0031328 (term-term) GO:0018130	0.5861121709271271
GO:0031328 (term-term) GO:0019219	0.5232426730957584
GO:0031328 (term-term) GO:0019438	0.5861121709271271
GO:0031328 (term-term) GO:0031325	0.7139240506329114
GO:0031328 (term-term) GO:0031326	0.6148602590320382
GO:0031328 (term-term-ontology) GO:0009891	2.0
GO:0031328 (term-term-ontology) GO:0031325	2.0
GO:0031328 (term-term-ontology) GO:0031326	2.0
GO:0031329 (term-term) GO:0009894	0.9078754280123918
GO:0031329 (term-term) GO:0009895	0.6157279489904357
GO:0031329 (term-term-ontology) GO:0009894	2.0
GO:0031329 (term-term-ontology) GO:0031323	2.0
GO:0031330 (term-term) GO:0009894	0.5729063059478814
GO:0031330 (term-term) GO:0009895	0.9327581077060397
GO:0031330 (term-term) GO:0031329	0.6513114392770554
GO:0031330 (term-term-ontology) GO:0009895	2.0
GO:0031330 (term-term-ontology) GO:0031324	2.0
GO:0031330 (term-term-ontology) GO:0031329	2.0
GO:0031399 (term-term) GO:0001932	0.8002020712301087
GO:0031399 (term-term) GO:0001934	0.6464426608624675
GO:0031399 (term-term) GO:0006468	0.671931250725816
GO:0031399 (term-term) GO:0010562	0.658161252137314
GO:0031399 (term-term) GO:0019220	0.77018782150975
