Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
93,TRIB2,0.700769230769231,FOXS1,0.613076923076923,RNASEH2B,0.629230769230769,CNTNAP2,0.824615384615385
94,DOCK1,0.57,MYO7B,0.540488565489527,ERI3,0.816923076923077,AKT3,0.786923076923077
95,HAND2,0.777558994998614,PGAM2,0.543076923076923,FGD5,0.486923076923077,ABL1,0.538461538461539
96,NACC2,0.517692307692308,TEX15,0.831538461538462,ABCG4,0.739230769230769,LPHN3,0.756923076923077
97,PRRT3,0.64,CXXC11,0.796533270469759,PYROXD1,0.523076923076923,NOVA1,0.514615384615385
98,LRP8,0.606153846153846,HS3ST5,0.780769230769231,SLC8A1,0.801538461538462,CHST1,0.730769230769231
99,ARHGAP20,0.743846153846154,GRID1,0.676923076923077,POLR3G,0.544615384615385,TAOK2,0.596923076923077
100,PITX1,0.785151005099021,CECR2,0.806153846153846,CAMKV,0.764615384615385,KIAA0232,0.565384615384615
101,ZHX2,0.813846153846154,TMSB15A,0.789230769230769,LRRC61,0.616923076923077,RALGPS1,0.67
102,CRYL1,0.641538461538462,DBF4,0.54,GLCCI1,0.66,LYRM9,0.674615384615385
103,COL12A1,0.706153846153846,RPS27A,0.604615384615385,TARS2,0.679230769230769,ALS2,0.705384615384615
104,WFS1,0.733846153846154,OGN,0.516153846153846,PCK2,0.863846153846154,DAPK1,0.641538461538462
105,EFNA4,0.816923076923077,MAN2A1,0.592307692307692,CABP2,0.515061754175353,ROGDI,0.811538461538462
106,FCGRT,0.580769230769231,MDFI,0.693076923076923,ASAP1,0.512307692307692,SOX4,0.775384615384615
107,TMEM165,0.557692307692308,GINS4,0.690769230769231,GABRA5,0.891538461538462,CTTNBP2,0.911538461538462
108,LDLRAD3,0.803846153846154,BTBD17,0.749230769230769,ZBED6CL,0.513076923076923,ESRRG,0.890769230769231
109,DKK4,0.485445015161448,FHL2,0.721538461538462,FAM135B,0.629230769230769,MSRA,0.656923076923077
110,ACCS,0.670769230769231,PGBD5,0.728461538461538,ATP6V1B2,0.686923076923077,CPNE4,0.876153846153846
111,GAD1,0.68,ARHGAP11B,0.655384615384615,NPR3,0.916923076923077,KLHL36,0.552307692307692
112,SHISA4,0.632307692307692,MICAL1,0.670769230769231,TPRX2P,0.898076192062872,MACF1,0.490769230769231
113,NTM,0.624615384615385,NMNAT2,0.868461538461539,TGFB3,0.880769230769231,LBX1,0.582564848422128
114,NTN5,0.751538461538462,INSM1,0.733846153846154,CHGA,0.699230769230769,HCRTR1,0.620888643914659
115,CPNE9,0.767692307692308,GRIK3,0.566923076923077,FAM180B,0.726153846153846,BTRC,0.598461538461538
116,PLEKHA7,0.548461538461538,PARP9,0.843846153846154,FLAD1,0.596153846153846,SNN,0.816923076923077
117,YIF1B,0.558461538461538,EPB41L4A-AS2,0.790769230769231,PRKD3,0.486923076923077,THAP7,0.563076923076923
118,IFI27L2,0.654615384615385,PAK7,0.61,C21orf90,0.828461538461538,TAOK3,0.680769230769231
119,FUT10,0.490769230769231,ADCY8,0.624615384615385,KCTD6,0.523076923076923,CACNA1C,0.548461538461538
120,ATP8A1,0.863846153846154,ZNF765,0.663846153846154,KRT18,0.491538461538462,CADM4,0.523076923076923
121,MAF,0.643076923076923,TOX3,0.888461538461539,ETV1,0.701538461538462,TCEAL2,0.758461538461539
122,COTL1,0.523846153846154,FAM198A,0.533076923076923,CRY1,0.749230769230769,SLC26A11,0.745384615384615
123,ARHGAP24,0.71,PSME1,0.537692307692308,BACE1,0.515384615384615,DAPK2,0.706923076923077
124,NKX6-1,0.823846153846154,ARID5A,0.565384615384615,AKIRIN1,0.52,CDH1,0.759230769230769
125,SLIT2,0.564615384615385,FAM111B,0.655384615384615,WBP11,0.653076923076923,PARP16,0.571538461538462
126,P4HA1,0.506923076923077,RPL7,0.713076923076923,ACTR1B,0.509230769230769,GPR139,0.860039107515897
127,NXN,0.591538461538462,BARHL2,0.892307692307692,GHR,0.908461538461539,KIAA0319,0.877692307692308
128,BMP2,0.622307692307692,CLDN4,0.692307692307692,TGFBR3,0.82,RPRD1A,0.551538461538462
129,UBE2E2,0.517692307692308,ZNF277,0.553076923076923,MYLIP,0.663076923076923,COMMD3-BMI1,0.630769230769231
130,ZFHX3,0.648461538461539,TGDS,0.756153846153846,BCOR,0.72,BARHL1,0.896153846153846
131,PRUNE2,0.564615384615385,COMMD10,0.54,NAA25,0.554615384615385,C14orf132,0.503076923076923
132,MRPL52,0.542307692307692,GREB1L,0.901538461538462,ART3,0.715384615384615,B3GNT8,0.740769230769231
133,SFMBT2,0.66,PPM1H,0.72,SPR,0.609230769230769,ELAVL2,0.747692307692308
134,PTPRD,0.786153846153846,TNFRSF18,0.692840851949523,RP11-127H5.1,0.930769230769231,DCLK1,0.491538461538462
135,RNF150,0.536923076923077,ADAMTS6,0.584615384615385,MYC,0.826923076923077,TMTC2,0.826153846153846
136,CA10,0.752307692307692,NPM1,0.723076923076923,MOCS2,0.563846153846154,CCNT2,0.486153846153846
137,NECAB1,0.713846153846154,SERINC2,0.841538461538462,TDRP,0.551538461538462,SYNE2,0.673846153846154
138,TGFA,0.856153846153846,TMEM98,0.876923076923077,HEATR5A,0.618461538461539,GNAL,0.874615384615385
139,PKP2,0.638461538461539,DRD2,0.925384615384615,C14orf144,0.611538461538462,TFAP2D,0.870276757054907
140,TMEM45A,0.531538461538462,THEMIS2,0.504615384615385,B3GALNT2,0.620769230769231,CRY2,0.546923076923077
141,MEGF6,0.647692307692308,ANKRD6,0.791538461538462,VDAC1,0.488461538461538,CHL1,0.907692307692308
142,NUDT2,0.549230769230769,NCALD,0.595384615384615,TPD52,0.788461538461539,BRINP1,0.596153846153846
143,FAM131A,0.603076923076923,ANXA1,0.552307692307692,C1orf27,0.563846153846154,C10orf85,0.64
144,NECAB2,0.602307692307692,ESRRB,0.729230769230769,EIF1B,0.609230769230769,ELFN2,0.613076923076923
145,C1orf95,0.727692307692308,ATG10,0.533846153846154,IFT43,0.680769230769231,INPP5F,0.912307692307692
146,PAQR8,0.540769230769231,C11orf70,0.730769230769231,ZNF311,0.773076923076923,OPA1,0.545384615384615
147,SIRPA,0.760769230769231,AC005358.1,0.656923076923077,GTF2F2,0.523076923076923,RAD52,0.568461538461538
148,AC096677.1,0.803846153846154,OMD,0.543076923076923,CACNA1G,0.766153846153846,SYT16,0.496153846153846
149,TM2D1,0.77,NMU,0.732307692307692,CENPW,0.867692307692308,PCDH17,0.815384615384615
150,SLC35D3,0.741296416867131,SRL,0.526153846153846,C7,0.623846153846154,TOX,0.876923076923077
