Gene,Group,Correlation
ROR2,WNT,0.865384615384615
SLC5A8,Group3,0.864871311358914
GLI1,SHH,0.864615384615385
HOOK1,Group3,0.864615384615385
MLLT3,Group4,0.864615384615385
HOOK1,Group4,0.864615384615385
PPP2R2C,SHH,0.863846153846154
CDKAL1,Group3,0.863846153846154
KCNK3,WNT,0.863846153846154
PCK2,Group3,0.863846153846154
CD200,Group4,0.863846153846154
ATP8A1,WNT,0.863846153846154
PCOLCE2,Group3,0.863076923076923
RNF112,WNT,0.863076923076923
BTBD11,SHH,0.862307692307692
NR2F1,WNT,0.862307692307692
PTGER2,Group4,0.862307692307692
NR2F1,SHH,0.862307692307692
SAMD3,Group3,0.861538461538462
DPYSL4,Group4,0.861538461538462
DGKB,Group4,0.861538461538462
CAP2,Group4,0.861538461538462
LHX9,Group3,0.861319500449147
PALMD,Group3,0.860769230769231
PNMAL2,Group4,0.860769230769231
FAM222A,Group4,0.860769230769231
GPR139,Group4,0.860039107515897
MYB,Group4,0.86
PDS5B,Group4,0.86
CELF5,Group4,0.86
JPH4,WNT,0.858461538461538
KLF11,Group4,0.858461538461538
KL,Group4,0.858461538461538
MAP7,Group3,0.858461538461538
LONRF2,Group4,0.858461538461538
JPH4,SHH,0.858461538461538
KLF11,Group3,0.858461538461538
FGFBP3,Group3,0.857692307692308
CERS4,Group3,0.857692307692308
BTC,Group3,0.857692307692308
CERS4,WNT,0.857692307692308
RHBDL3,Group4,0.857692307692308
DENND1A,Group3,0.856923076923077
AIF1L,Group4,0.856923076923077
FLRT2,SHH,0.856923076923077
FLRT2,WNT,0.856923076923077
MED12L,Group4,0.856153846153846
MED12L,SHH,0.856153846153846
BOK,SHH,0.856153846153846
TGFA,WNT,0.856153846153846
GADD45A,WNT,0.856153846153846
IQCA1,WNT,0.856153846153846
PRPH2,Group3,0.856153846153846
EMX2,WNT,0.854615384615385
HTR1A,Group3,0.854615384615385
TNFRSF19,WNT,0.854615384615385
LAPTM4B,Group3,0.854615384615385
LRRC34,Group3,0.854615384615385
TSHZ2,SHH,0.853846153846154
SGK1,Group4,0.853846153846154
HLX,Group3,0.853846153846154
SGK1,Group3,0.853846153846154
ARHGEF26,SHH,0.853846153846154
GFRA2,Group4,0.853076923076923
RALGPS2,Group3,0.853076923076923
OTX2,Group4,0.852307692307692
MYO16,SHH,0.852307692307692
OTX2,Group3,0.852307692307692
ACKR3,WNT,0.851538461538462
AKR1C1,Group4,0.851538461538462
TMEM132C,WNT,0.850769230769231
APOL4,WNT,0.850769230769231
APOL4,SHH,0.850769230769231
ARHGAP15,Group4,0.850769230769231
USH2A,Group3,0.850769230769231
FSTL4,WNT,0.850769230769231
CHDH,SHH,0.850769230769231
ARHGAP15,Group3,0.850769230769231
ARL6,Group3,0.85
EGLN3,Group3,0.85
RPRM,Group3,0.85
ELL2,Group3,0.849230769230769
GLIPR2,Group3,0.849230769230769
JMY,Group3,0.849230769230769
NRCAM,WNT,0.849230769230769
PRKCB,SHH,0.848461538461538
SORBS2,Group3,0.848461538461538
TGIF2,WNT,0.847692307692308
TGIF2,SHH,0.847692307692308
PCYT1B,WNT,0.847692307692308
PCYT1B,SHH,0.847692307692308
DTX1,Group4,0.847692307692308
C1orf216,Group4,0.846923076923077
NDST3,SHH,0.846153846153846
ELSPBP1,Group3,0.845858988234699
SHROOM2,SHH,0.845384615384615
S100A2,WNT,0.845384615384615
IFITM10,SHH,0.845384615384615
VWDE,WNT,0.845384615384615
S100A2,SHH,0.845384615384615
ST6GAL1,Group4,0.844615384615385
CNGA3,WNT,0.844615384615385
GRIN2A,SHH,0.844615384615385
DOK5,WNT,0.844615384615385
RP1,Group3,0.844615384615385
ACPL2,SHH,0.843846153846154
ACPL2,Group4,0.843846153846154
NALCN,Group4,0.843846153846154
EPHA5,Group4,0.843846153846154
EPHA4,WNT,0.843846153846154
PARP9,SHH,0.843846153846154
NBL1,WNT,0.843076923076923
CEACAM21,Group3,0.843076923076923
KCNA2,WNT,0.843076923076923
HECA,Group4,0.843076923076923
AFF3,SHH,0.843076923076923
EMILIN3,SHH,0.842307692307692
DENND2C,Group3,0.842307692307692
RREB1,Group3,0.842307692307692
CDYL2,Group4,0.842307692307692
FAM19A5,SHH,0.842307692307692
RREB1,Group4,0.842307692307692
HK2,WNT,0.842307692307692
MYH15,WNT,0.841538461538462
IPCEF1,Group4,0.841538461538462
RGS6,Group3,0.841538461538462
PDZD4,Group4,0.841538461538462
SERINC2,SHH,0.841538461538462
TMEM244,Group3,0.841416723534254
SNCA,Group4,0.840769230769231
NEFM,Group3,0.840769230769231
VWA5B2,WNT,0.840769230769231
AGBL1,Group3,0.840769230769231
GPR98,WNT,0.840769230769231
CABP5,Group3,0.840290348180773
POU6F2,SHH,0.84
CALN1,SHH,0.84
MAB21L1,Group4,0.839230769230769
DIRAS3,Group4,0.839230769230769
FREM2,WNT,0.839230769230769
PDE4B,Group4,0.838461538461538
MYO1B,WNT,0.838461538461538
FAM43B,SHH,0.838461538461538
INSM2,SHH,0.837692307692308
RHEB,Group4,0.836923076923077
SRGAP1,SHH,0.836153846153846
NRXN2,Group4,0.836153846153846
DCC,SHH,0.835384615384615
CXorf57,SHH,0.835384615384615
CAMSAP3,Group4,0.835384615384615
CAMSAP3,Group3,0.835384615384615
CDK14,Group4,0.835384615384615
EFNA5,WNT,0.835384615384615
TMEM132B,Group4,0.835384615384615
TRHDE,SHH,0.834615384615385
NTN1,WNT,0.834615384615385
NTN1,SHH,0.834615384615385
TTC9,Group4,0.834615384615385
TTC9,WNT,0.834615384615385
CSRP2,Group4,0.833846153846154
CTC-360G5.1,SHH,0.833846153846154
SV2A,WNT,0.833076923076923
MARCH1,Group3,0.833076923076923
MMP17,SHH,0.833076923076923
RUNDC3B,Group4,0.833076923076923
EDIL3,Group4,0.832307692307692
KLHL4,SHH,0.832307692307692
KCNT2,SHH,0.832307692307692
EDIL3,Group3,0.832307692307692
TEX15,SHH,0.831538461538462
TPM1,WNT,0.830769230769231
GPR61,Group3,0.830769230769231
IFNLR1,WNT,0.830769230769231
IRX1,SHH,0.83
KCNH1,Group3,0.829230769230769
NDP,SHH,0.829230769230769
BCL11A,SHH,0.828461538461538
FRMPD2,WNT,0.828461538461538
C21orf90,Group3,0.828461538461538
C1orf173,Group3,0.828461538461538
MTSS1,Group4,0.828461538461538
AC092675.3,WNT,0.827851525219546
EPB41L4B,SHH,0.827692307692308
SVIL,WNT,0.827692307692308
SLC6A3,Group4,0.827692307692308
TGIF1,WNT,0.827692307692308
RPH3A,Group4,0.827692307692308
PCDHB7,Group4,0.827692307692308
CMPK2,Group4,0.827692307692308
GLRA2,Group4,0.827692307692308
IGLON5,SHH,0.826923076923077
ELMOD1,Group4,0.826923076923077
HSD17B14,WNT,0.826923076923077
MYC,Group3,0.826923076923077
PDGFRA,WNT,0.826923076923077
SLITRK2,SHH,0.826153846153846
SYT14,WNT,0.826153846153846
PTPRZ1,Group4,0.826153846153846
ST18,Group4,0.826153846153846
TMTC2,Group4,0.826153846153846
ETV6,SHH,0.825384615384615
IL17RB,SHH,0.825384615384615
ETV6,WNT,0.825384615384615
ANKRD65,WNT,0.825384615384615
ANKRD65,SHH,0.825384615384615
SLC6A15,SHH,0.824615384615385
TBC1D8,Group4,0.824615384615385
AKAP6,SHH,0.824615384615385
COLGALT2,WNT,0.824615384615385
CNTNAP2,Group4,0.824615384615385
TBC1D8,Group3,0.824615384615385
STON2,WNT,0.824615384615385
CXCR4,SHH,0.824615384615385
AKAP6,WNT,0.824615384615385
RP11-1085N6.3,Group3,0.823846153846154
NKX6-1,WNT,0.823846153846154
SPNS2,SHH,0.823076923076923
LEF1,WNT,0.823076923076923
TPBGL,SHH,0.823076923076923
CNGB1,Group3,0.823076923076923
ALS2CR12,Group3,0.823076923076923
TRIM71,SHH,0.823076923076923
PALM,SHH,0.823076923076923
STRADB,Group3,0.822307692307692
KCTD8,Group4,0.822307692307692
ANKRD33B,Group3,0.822307692307692
PRX,Group4,0.821538461538462
MMD,Group3,0.821538461538462
SOX2,SHH,0.821538461538462
MMD,Group4,0.821538461538462
FXYD6,Group4,0.820769230769231
PHACTR3,SHH,0.820769230769231
ETFB,WNT,0.820769230769231
ST3GAL6,Group4,0.82
RHOB,WNT,0.82
TGFBR3,Group3,0.82
RHOB,SHH,0.82
WASF3,Group3,0.82
B3GAT1,Group4,0.82
ST6GAL2,WNT,0.82
SLC13A3,WNT,0.82
BSPH1,Group3,0.819913827706012
PCBP3,SHH,0.819230769230769
NCAM2,Group4,0.819230769230769
SHANK2,SHH,0.818461538461539
PDE1C,Group4,0.818461538461539
SLITRK1,Group3,0.818461538461539
FHDC1,Group4,0.818461538461539
UBASH3B,SHH,0.818461538461539
BCAT2,WNT,0.817692307692308
ERI3,Group3,0.816923076923077
TCF7L2,Group3,0.816923076923077
EFNA4,WNT,0.816923076923077
SNN,Group4,0.816923076923077
CADPS2,Group4,0.816153846153846
CACNG7,SHH,0.816153846153846
GRIN3A,Group4,0.816153846153846
PDE3A,SHH,0.816153846153846
PRICKLE2,Group3,0.816153846153846
TMEM150C,Group4,0.816153846153846
PTCHD2,Group4,0.816153846153846
C7orf33,Group3,0.815507591368068
PCDH17,Group4,0.815384615384615
TH,WNT,0.815242735793939
NXPH3,WNT,0.813846153846154
KRT17,SHH,0.813846153846154
UBE2QL1,SHH,0.813846153846154
GLDC,SHH,0.813846153846154
GAS2,Group3,0.813846153846154
ZHX2,WNT,0.813846153846154
GPLD1,Group4,0.813076923076923
HS6ST1,SHH,0.813076923076923
KCNMA1,Group3,0.813076923076923
GPLD1,Group3,0.813076923076923
WDR72,SHH,0.812463950401339
NSG2,Group3,0.812307692307692
MGAT5,Group4,0.812307692307692
ROGDI,Group4,0.811538461538462
MYO3B,WNT,0.811538461538462
ADCY1,Group4,0.811538461538462
MMP14,WNT,0.811538461538462
ATF3,WNT,0.810769230769231
HOMER1,Group3,0.810769230769231
MBNL1,SHH,0.810769230769231
MINOS1-NBL1,WNT,0.810769230769231
HOMER1,Group4,0.810769230769231
PTHLH,Group4,0.810769230769231
PCDH11X,SHH,0.810769230769231
PCSK2,Group3,0.81
SYNJ2,Group4,0.81
LHX5,Group4,0.809272441342984
NUBPL,Group3,0.809230769230769
SGMS1,Group4,0.809230769230769
NUBPL,WNT,0.809230769230769
FABP7,SHH,0.809230769230769
SGMS1,Group3,0.809230769230769
RP11-834C11.12,WNT,0.808776002766186
EGFR,SHH,0.808461538461538
PLXNA2,Group4,0.808461538461538
CLIP2,SHH,0.808461538461538
FMN2,Group4,0.807692307692308
KCNJ4,SHH,0.807692307692308
FBXO11,Group4,0.807692307692308
EBF2,WNT,0.807692307692308
CBLN4,Group4,0.807692307692308
HS3ST3B1,WNT,0.807692307692308
CCDC109B,WNT,0.806923076923077
NUAK2,SHH,0.806923076923077
SLC24A4,Group4,0.806923076923077
CCDC109B,SHH,0.806923076923077
HOXD8,WNT,0.806774680936778
PDE5A,SHH,0.806153846153846
IQCK,Group3,0.806153846153846
KHDRBS2,Group4,0.806153846153846
PDLIM3,SHH,0.806153846153846
PDE5A,WNT,0.806153846153846
CECR2,SHH,0.806153846153846
EN1,WNT,0.806153846153846
EPB41L4A,SHH,0.805384615384615
ARNTL,Group3,0.805384615384615
BRI3BP,Group4,0.805384615384615
PRKD1,SHH,0.805384615384615
SLCO5A1,Group3,0.804615384615385
C3orf58,Group4,0.804615384615385
CBLB,Group3,0.804615384615385
ARID5B,Group4,0.804615384615385
SLCO5A1,Group4,0.804615384615385
CPNE2,SHH,0.803846153846154
AC096677.1,WNT,0.803846153846154
LDLRAD3,WNT,0.803846153846154
KLF12,SHH,0.803076923076923
KLF12,Group4,0.803076923076923
RNF43,WNT,0.803076923076923
APP,WNT,0.802307692307692
UGT8,SHH,0.802307692307692
UGT8,WNT,0.802307692307692
EPHB1,Group4,0.802307692307692
NETO2,Group4,0.802307692307692
CLYBL,WNT,0.802307692307692
NAA35,Group4,0.801538461538462
BMF,Group3,0.801538461538462
BMF,WNT,0.801538461538462
EPHA2,WNT,0.801538461538462
SLC8A1,Group3,0.801538461538462
TDRD9,Group3,0.801538461538462
EPHA2,Group3,0.801538461538462
FXYD6-FXYD2,Group4,0.801538461538462
CYP11A1,SHH,0.801538461538462
IFT57,WNT,0.801538461538462
REPS1,Group4,0.800769230769231
PDE7B,Group4,0.800769230769231
REPS1,Group3,0.800769230769231
DISC1,Group3,0.800769230769231
PAX3,WNT,0.800769230769231
BEX5,Group4,0.800769230769231
SSX2IP,Group3,0.800769230769231
MPPED1,Group4,0.800769230769231
FAM19A2,Group4,0.8
RPGRIP1,Group4,0.8
ADAMTS12,SHH,0.8
HOXC4,WNT,0.8
NFIB,Group4,0.8
COL4A5,WNT,0.8
IL17RD,SHH,0.799230769230769
DDX31,Group4,0.799230769230769
SERTAD4,WNT,0.799230769230769
MEIS3,Group4,0.799230769230769
LONRF1,Group4,0.799230769230769
CDKN2B,Group4,0.798461538461538
FBXO6,Group4,0.797692307692308
TMEM229B,SHH,0.797692307692308
RAB36,SHH,0.797692307692308
FBXO6,Group3,0.797692307692308
SLC6A8,Group4,0.796923076923077
RPL4,SHH,0.796923076923077
SLC6A8,Group3,0.796923076923077
DCX,Group4,0.796923076923077
