DACT1,TWF2,GCLC,CLIP3,,,,,,SMAD7
INADL,GPRC5C,N4BP3,CXXC4,,,,,,UBE2J1
FBXL7,TCEAL7,OMA1,SYT16,,,,,,MUT
PAM,COL5A2,ZADH2,PRKACB,,,,,,GTF2I
SERPIND1,NLGN4X,WSCD1,TMEM163,,,,,,FGD4
CPNE9,HJURP,ARHGAP9,TMEM130,,,,,,FGFR1OP
CRABP2,ARID5A,TARS2,KCNN1,,,,,,CLGN
EMX2,OGN,AZIN1,LHX5,,,,,,KIF21B
NOG,ZNF286A,TRIP10,TFAP2D,,,,,,RASAL2
MRPL32,GLRX3,MAP3K4,FBN2,,,,,,PAQR9
PERP,ZNF621,MCM9,EPHB1,,,,,,MMD
APMAP,TSHZ2,NUDT14,KCTD10,,,,,,TBR1
NAV3,DIAPH2,RASGRF2,TSPAN2,,,,,,AP1S2
SLFN11,C1orf109,LRRC61,GPSM1,,,,,,GTPBP10
ZIC2,KRT17,HAX1,NALCN,,,,,,C19orf77
GALNT10,FGF5,DISC1,C12orf5,,,,,,KCNA5
TNC,SH3BGRL,SEMA3C,GLRA2,,,,,,NDUFA5
CHRM4,INSM1,ART3,LRRC38,,,,,,NLK
ZMAT3,TPBGL,AC026703.1,C1orf204,,,,,,GPR153
ALX4,CCNI,GNB5,KIAA1586,,,,,,CACNA2D1
EPHA3,UNC13C,XKR9,SYT13,,,,,,PDSS2
PLTP,STAC,CABP5,KIAA1211,,,,,,TMEM57
