Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
209,DSP,0.885384615384615,FAM43B,0.838461538461538,FEZ2,0.532307692307692,DNAJB6,0.647692307692308
210,DYRK4,0.724615384615385,FAM84A,0.722307692307692,FGD4,0.699230769230769,DNM3,0.555384615384615
211,E2F7,0.646923076923077,FANCB,0.598461538461538,FGD5,0.486923076923077,DOCK3,0.495384615384615
212,EBF2,0.807692307692308,FANCL,0.606923076923077,FGFBP2,0.72,DOK6,0.926923076923077
213,ECEL1,0.696923076923077,FARP2,0.505384615384615,FGFBP3,0.857692307692308,DPP6,0.62
214,EDA,0.764615384615385,FAT1,0.776923076923077,FGFR1OP,0.599230769230769,DPYSL3,0.721538461538462
215,EEF1G,0.676923076923077,FAXDC2,0.685384615384615,FH,0.66,DPYSL4,0.861538461538462
216,EEPD1,0.515384615384615,FBXL16,0.695384615384615,FKBP5,0.563846153846154,DPYSL5,0.718461538461538
217,EFHD2,0.534615384615385,FBXO16,0.714615384615385,FLAD1,0.596153846153846,DROSHA,0.528461538461539
218,EFNA4,0.816923076923077,FCHSD1,0.740769230769231,FLRT1,0.507692307692308,DSCAML1,0.593846153846154
219,EFNA5,0.835384615384615,FGF14,0.883076923076923,FOCAD,0.673076923076923,DTNA,0.571538461538462
220,EGFLAM,0.734615384615385,FGF5,0.717692307692308,FOXG1,0.947956641873348,DTX1,0.847692307692308
221,EHD3,0.606153846153846,FGGY,0.595384615384615,FOXO6,0.776153846153846,DTX4,0.499230769230769
222,EMB,0.651538461538462,FHL1,0.604615384615385,FRMPD1,0.877692307692308,DYNC1I1,0.683846153846154
223,EMC1,0.758461538461539,FHL2,0.721538461538462,FRY,0.742307692307692,EBF1,0.78
224,EMID1,0.903076923076923,FILIP1L,0.6,FSTL5,0.942307692307692,EDIL3,0.832307692307692
225,EMILIN1,0.528461538461539,FLNB,0.653846153846154,FZD1,0.913846153846154,EEFSEC,0.533846153846154
226,EML4,0.736153846153846,FLNC,0.866153846153846,FZD8,0.526153846153846,EFNB1,0.783846153846154
227,EML6,0.539230769230769,FLRT2,0.856923076923077,GABARAPL1,0.883076923076923,EIF4E,0.720769230769231
228,EMP3,0.556923076923077,FMNL3,0.486153846153846,GABRA5,0.891538461538462,ELAVL2,0.747692307692308
229,EMX2,0.854615384615385,FOXL2,0.492307692307692,GABRG2,0.883076923076923,ELFN2,0.613076923076923
230,EN1,0.806153846153846,FOXO6,0.776153846153846,GALP,0.540666729899772,ELMO1,0.495384615384615
231,ENPP6,0.574615384615385,FOXP1,0.606923076923077,GAS2,0.813846153846154,ELMOD1,0.826923076923077
232,ENTPD8,0.607345477689159,FOXS1,0.613076923076923,GAS7,0.736153846153846,ELOVL5,0.626923076923077
233,EOGT,0.882307692307692,FREM1,0.551538461538462,GCLC,0.756923076923077,EN2,0.943846153846154
234,EPDR1,0.747692307692308,FRMD4A,0.779230769230769,GGA2,0.535384615384615,ENC1,0.931538461538462
235,EPHA2,0.801538461538462,FRYL,0.559230769230769,GHR,0.908461538461539,ENHO,0.641538461538462
236,EPHA3,0.558461538461538,FUT8,0.785384615384615,GK5,0.545384615384615,ENOX1,0.755384615384615
237,EPHA4,0.843846153846154,FUT9,0.633846153846154,GLB1L2,0.623076923076923,EOMES,0.893846153846154
238,EPHA7,0.728461538461538,GAB1,0.520769230769231,GLCCI1,0.66,EPAS1,0.632307692307692
239,EPHB4,0.76,GABRA2,0.707692307692308,GLIPR2,0.849230769230769,EPG5,0.506923076923077
240,ERICH2,0.771538461538462,GAS1,0.663076923076923,GLT1D1,0.698461538461539,EPHA5,0.843846153846154
241,ERO1LB,0.688461538461538,GBP1,0.600769230769231,GNB5,0.570769230769231,EPHA6,0.57
