,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
84,EFNA4,0.816923076923077,SLITRK2,0.826153846153846,RALGPS2,0.853076923076923,PTGER2,0.862307692307692
85,TH,0.815242735793939,IL17RB,0.825384615384615,USH2A,0.850769230769231,CAP2,0.861538461538462
86,NXPH3,0.813846153846154,CXCR4,0.824615384615385,RPRM,0.85,DPYSL4,0.861538461538462
87,ZHX2,0.813846153846154,SLC6A15,0.824615384615385,EGLN3,0.85,DGKB,0.861538461538462
88,MMP14,0.811538461538462,SPNS2,0.823076923076923,ARL6,0.85,PNMAL2,0.860769230769231
89,MYO3B,0.811538461538462,TRIM71,0.823076923076923,GLIPR2,0.849230769230769,FAM222A,0.860769230769231
90,ATF3,0.810769230769231,PALM,0.823076923076923,ELL2,0.849230769230769,GPR139,0.860039107515897
91,MINOS1-NBL1,0.810769230769231,TPBGL,0.823076923076923,JMY,0.849230769230769,CELF5,0.86
92,RP11-834C11.12,0.808776002766186,SOX2,0.821538461538462,SORBS2,0.848461538461538,MYB,0.86
93,HS3ST3B1,0.807692307692308,PHACTR3,0.820769230769231,ELSPBP1,0.845858988234699,PDS5B,0.86
94,EBF2,0.807692307692308,PCBP3,0.819230769230769,RP1,0.844615384615385,LONRF2,0.858461538461538
95,HOXD8,0.806774680936778,SHANK2,0.818461538461539,CEACAM21,0.843076923076923,KL,0.858461538461538
96,EN1,0.806153846153846,UBASH3B,0.818461538461539,DENND2C,0.842307692307692,RHBDL3,0.857692307692308
97,LDLRAD3,0.803846153846154,PDE3A,0.816153846153846,RGS6,0.841538461538462,AIF1L,0.856923076923077
98,AC096677.1,0.803846153846154,CACNG7,0.816153846153846,TMEM244,0.841416723534254,GFRA2,0.853076923076923
