source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
O75865,O95073
P42679,Q01844
P40259,O43765
P40259,Q96EQ0
P26367,Q9UBB6
P26367,O15347
P26367,Q9H6Z4
P26367,P31273
P26367,Q9NSC5
P26367,Q13952
P26367,Q9BXS5
P26367,P61086
P26367,Q96FV9
P26367,Q9BS40
P26367,Q6ISB3
P26367,Q9NZD8
P26367,P07910
P26367,O14893
P26367,P49366
P26367,Q5JVL4
P26367,Q8IVT2
P26367,Q9NRD5
P26367,Q9BW66
P26367,P68400
P26367,Q15691
P26367,O43699
P26367,Q08493
P26367,ENSG00000105991
P26367,Q16204
P26367,Q05519
P26367,Q9NX04
P26367,Q01105
P26367,Q86VK4
P26367,Q9Y3C0
P26367,Q9BT43
P26367,O75603
P26367,Q15642
P26367,Q13526
P26367,Q8N6Y0
P26367,Q8WUA2
P26367,Q9UDX3
P26367,Q6PF18
P26367,P55081
P26367,Q96Q77
P26367,Q9UBE0
P26367,Q8NEY4
P26367,Q9C0E8
P26367,Q96JC9
P26367,Q99469
P26367,Q9Y247
P26367,Q86UE8
P26367,Q6NT76
P26367,Q8N8Y2
P26367,Q96IV0
P26367,Q8TD10
P26367,Q17RB8
P26367,Q53TS8
P26367,Q6ZNA4
P26367,Q71RC2
P26367,Q96S90
P26367,Q9UFW8
P26367,O94888
P26367,Q8IW40
P26367,Q8NI38
P26367,Q13111
P26367,Q8WYK0
P26367,Q8N9N5
P26367,P61024
P26367,Q8N9N8
P26367,Q9NUJ3
P26367,O95376
P26367,Q9H322
P26367,P31274
P26367,P54619
P26367,Q9UI47
P26367,Q969M7
P26367,O14964
P26367,Q8TB03
P26367,Q9BUI4
P26367,Q9BYQ0
P26367,Q5TBC7
P26367,Q15973
P26367,P62508
P26367,Q63ZY3
P26367,Q2TAL8
P26367,Q9UKI8
P26367,O95872
P26367,Q9UIG4
P26367,Q5MJ68
P26367,Q96EL3
P26367,Q9BYQ3
P26367,A6NFU0
P26367,O96006
P26367,Q14CS0
P26367,A0AV02
P26367,Q96MP8
P26367,Q00526
P26367,Q8NHY3
Q96CC6,Q9UBR4
Q9NQ29,Q16629
Q9NQ29,Q13247
Q99594,Q9GZV5
Q99594,Q99990
Q99594,Q14135
Q99594,Q8N8G2
Q99594,P56545
Q99594,A8MV65
Q9NVH1,Q9BS40
Q9NVH1,Q8IYS1
Q9NVH1,Q8N1B4
P31513,Q96HU1
P31513,Q8IUN9
P31513,Q9NTJ5
Q8WY64,Q9NQT4
Q8WY64,Q96IK5
Q8WY64,Q96ED9
Q8WY64,Q05516
Q8WY64,Q9C086
Q8WY64,Q5T7N3
Q8WY64,O00560
Q8WY64,Q8N448
Q8WY64,Q6UY14
Q8WY64,Q96D03
Q8WY64,Q8TD10
Q8WY64,Q9BWG6
Q8WY64,Q92574
Q8WY64,Q9Y3Q8
Q8WY64,Q8TAU3
Q8WY64,Q14995
Q8WY64,Q8N8B7
Q8WY64,Q99592
Q8WY64,B2RXF5
Q8WY64,Q7Z4V0
Q8WY64,Q5JST6
Q8WY64,Q86UR1
Q8WY64,Q9NTX9
Q8WY64,Q03989
Q8WY64,P55771
Q8WY64,P0CG21
Q8WY64,Q8WWW0
P20618,Q9Y2Y4
P20618,Q9UIY3
P20618,Q96C01
P20618,Q13077
P20618,Q86WP2
P20618,Q4V328
P20618,Q9H0E2
P20618,O60729
P20618,Q9UPY8
P20618,O14893
P20618,Q15323
P20618,Q12824
P20618,Q9UIA0
P20618,Q96CA5
P20618,Q9NUG4
P20618,Q9NQG5
P20618,O00746
P20618,O43482
P20618,Q93045
P20618,Q53H96
P20618,Q9HAP6
P20618,Q08117
P20618,Q96BZ8
P20618,P0C1Z6
P20618,ENSG00000105991
P20618,O95994
P20618,Q9UBR4
P20618,O76064
P20618,P36406
P20618,Q6PID6
P20618,Q16740
P20618,O76013
P20618,Q12933
P20618,P25786
P20618,O76011
P20618,Q7Z7F0
P20618,Q5JR59
P20618,Q9Y2V7
P20618,Q9H079
P20618,P23025
P20618,Q9NP66
P20618,Q9BVG8
P20618,Q99961
P20618,Q9Y247
P20618,Q13555
P20618,Q5SQQ9
P20618,Q96N16
P20618,Q9P2X3
